title,year,imdbID
Come and See,1985,tt0091251
12 Angry Men,1957,tt0050083
2001: A Space Odyssey,1968,tt0062622
The Passion of Joan of Arc,1928,tt0019254
Twin Peaks: The Return,2017,tt4093826
The Decalogue,1989,
Pulp Fiction,1994,tt0110912
Apocalypse Now,1979,tt0078788
Stalker,1979,tt0079944
High and Low,1963,tt0057565
The Godfather,1972,tt0068646
Tokyo Story,1953,tt0046438
Seven Samurai,1954,tt0047478
There Will Be Blood,2007,tt0469494
A Woman Under the Influence,1974,tt0072417
Harakiri,1962,tt0056058
Shoah,1985,tt0090015
The Apartment,1960,tt0053604
Persona,1966,tt0060827
Army of Shadows,1969,tt0064040
"The Good, the Bad and the Ugly",1966,tt0060196
"Jeanne Dielman, 23, Quai du Commerce 1080 Bruxelles",1975,tt0073198
M,1931,tt0022100
The Godfather: Part II,1974,tt0071562
Sunrise: A Song of Two Humans,1927,tt0018455
Werckmeister Harmonies,2000,tt0249241
Who's Afraid of Virginia Woolf?,1966,tt0061184
Paths of Glory,1957,tt0050825
Sunset Boulevard,1950,tt0043014
Psycho,1960,tt0054215
Autumn Sonata,1978,tt0077711
8½,1963,tt0056801
Alien,1979,tt0078748
Ikiru,1952,tt0044741
Rear Window,1954,tt0047396
Twin Peaks,1989,tt0278784
Do the Right Thing,1989,tt0097216
A Man Escaped,1956,tt0049902
The 400 Blows,1959,tt0053198
Singin' in the Rain,1952,tt0045152
Once Upon a Time in the West,1968,tt0064116
Children of Men,2006,tt0206634
La Notte,1961,tt0054130
The Shining,1980,tt0081505
"Paris, Texas",1984,tt0087884
Lawrence of Arabia,1962,tt0056172
Sansho the Bailiff,1954,tt0047445
Taxi Driver,1976,tt0075314
Le Samouraï,1967,tt0062229
Band of Brothers,2001,tt0185906
City Lights,1931,tt0021749
Secrets & Lies,1996,tt0117589
Man with a Movie Camera,1929,tt0019760
Modern Times,1936,tt0027977
To Be or Not to Be,1942,tt0035446
The Night of the Hunter,1955,tt0048424
La Haine,1995,tt0113247
The Empire Strikes Back,1980,tt0080684
The Long Day Closes,1992,tt0104753
Stop Making Sense,1984,tt0088178
Spirited Away,2001,tt0245429
Andrei Rublev,1966,tt0060107
Citizen Kane,1941,tt0033467
Mirror,1975,tt0072443
The Human Condition III: A Soldier's Prayer,1961,tt0055233
The Wages of Fear,1953,tt0046268
Casablanca,1942,tt0034583
The Celebration,1998,tt0154420
Mulholland Drive,2001,tt0166924
In the Mood for Love,2000,tt0118694
The Spirit of the Beehive,1973,tt0070040
Blade Runner,1982,tt0083658
Fanny & Alexander,1982,tt0083922
Rocco and His Brothers,1960,tt0054248
Mommy,2014,tt3612616
Raging Bull,1980,tt0081398
Sans Soleil,1983,tt0084628
Rififi,1955,tt0048021
The Great Dictator,1940,tt0032553
Three Colors: Red,1994,tt0111495
Rosemary's Baby,1968,tt0063522
Brief Encounter,1945,tt0037558
A Brighter Summer Day,1991,tt0101985
Se7en,1995,tt0114369
"Sherlock, Jr.",1924,tt0015324
Nostalgia,1983,tt0086022
Winter Light,1963,tt0057358
Naked,1993,tt0107653
Magnolia,1999,tt0175880
In a Lonely Place,1950,tt0042593
Dogville,2003,tt0276919
Le Cercle rouge,1970,tt0065531
One Flew Over the Cuckoo's Nest,1975,tt0073486
Pather Panchali,1955,tt0048473
Bicycle Thieves,1948,tt0040522
Amour,2012,tt1602620
Throne of Blood,1957,tt0050613
No Country for Old Men,2007,tt0477348
Wild Strawberries,1957,tt0050986
Oldboy,2003,tt0364569
Solaris,1972,tt0069293
The Conversation,1974,tt0071360
The Sacrifice,1986,tt0091670
Ordet,1955,tt0048452
Scenes from a Marriage,1973,tt0070644
The Act of Killing,2012,tt2375605
Greed,1924,tt0015881
La Jetée,1962,tt0056119
The Human Condition I: No Greater Love,1959,tt0053114
Yi Yi,2000,tt0244316
The Silence of the Lambs,1991,tt0102926
The Hidden Fortress,1958,tt0051808
Barry Lyndon,1975,tt0072684
Amadeus,1984,tt0086879
The Elephant Man,1980,tt0080678
The Ascent,1977,tt0075404
Eternal Sunshine of the Spotless Mind,2004,tt0338013
Vertigo,1958,tt0052357
Rashomon,1950,tt0042876
The White Ribbon,2009,tt1149362
Drive,2011,tt0780504
GoodFellas,1990,tt0099685
Mad Max: Fury Road,2015,tt1392190
Late Spring,1949,tt0041154
O.J.: Made in America,2016,tt5275892
World of Tomorrow Episode Two: The Burden of…,2017,tt7278178
City Girl,1930,tt0020768
Mishima: A Life in Four Chapters,1985,tt0089603
Close-Up,1990,tt0100234
Decalogue VI,1989,tt0094988
Boogie Nights,1997,tt0118749
The Red Shoes,1948,tt0040725
Grave of the Fireflies,1988,tt0095327
Before Sunrise,1995,tt0112471
The Emigrants,1971,tt0067919
An Autumn Afternoon,1962,tt0056444
The Cranes Are Flying,1957,tt0050634
La Dolce Vita,1960,tt0053779
City of God,2002,tt0317248
The Hunt,2012,tt2106476
Grand Illusion,1937,tt0028950
Early Summer,1951,tt0043313
It's Such a Beautiful Day,2012,tt2396224
Night and Fog,1955,tt0048434
Over the Garden Wall,2014,tt3718778
The Third Man,1949,tt0041959
A Clockwork Orange,1971,tt0066921
Pale Flower,1964,tt0056327
My Neighbor Totoro,1988,tt0096283
A Matter of Life and Death,1946,tt0038733
Memories of Murder,2003,tt0353969
Meshes of the Afternoon,1943,tt0036154
Rebecca,1940,tt0032976
Chinatown,1974,tt0071315
The Double Life of Veronique,1991,tt0101765
It's Such a Beautiful Day,2011,tt2078648
The Shawshank Redemption,1994,tt0111161
The Life and Death of Colonel Blimp,1943,tt0036112
The Deer Hunter,1978,tt0077416
Woman in the Dunes,1964,tt0058625
The Story of Film: An Odyssey,2011,tt2044056
Moonlight,2016,tt4975722
Princess Mononoke,1997,tt0119698
A Separation,2011,tt1832382
Nashville,1975,tt0073440
Ivan's Childhood,1962,tt0056111
The Dark Knight,2008,tt0468569
Ali: Fear Eats the Soul,1974,tt0071141
Le Trou,1960,tt0054407
Decalogue V,1989,tt0094987
The Seventh Seal,1957,tt0050976
The General,1926,tt0017925
The Handmaiden,2016,tt4016934
Whiplash,2014,tt2582802
The Lovers on the Bridge,1991,tt0101318
Metropolis,1927,tt0017136
Fight Club,1999,tt0137523
Hiroshima Mon Amour,1959,tt0052893
It's a Wonderful Life,1946,tt0038650
Z,1969,tt0065234
Three Colors: Blue,1993,tt0108394
The Best Years of Our Lives,1946,tt0036868
Double Indemnity,1944,tt0036775
Umberto D.,1952,tt0045274
Full Metal Jacket,1987,tt0093058
Raise the Red Lantern,1991,tt0101640
The Bridge on the River Kwai,1957,tt0050212
The Lord of the Rings: The Return of…,2003,tt0167260
The Holy Mountain,1973,tt0071615
The World of Apu,1959,tt0052572
Cries and Whispers,1972,tt0069467
Before Sunset,2004,tt0381681
The Grapes of Wrath,1940,tt0032551
The Lord of the Rings: The Fellowship of…,2001,tt0120737
Laurence Anyways,2012,tt1650048
Days of Heaven,1978,tt0077405
The Treasure of the Sierra Madre,1948,tt0040897
Fargo,1996,tt0116282
Chungking Express,1994,tt0109424
Some Like It Hot,1959,tt0053291
Dr. Strangelove or: How I Learned to Stop…,1964,tt0057012
North by Northwest,1959,tt0053125
Inglourious Basterds,2009,tt0361748
Die Hard,1988,tt0095016
The Last Laugh,1924,tt0015064
Schindler's List,1993,tt0108052
WALL·E,2008,tt0910970
Yojimbo,1961,tt0055630
Eraserhead,1977,tt0074486
The Big Lebowski,1998,tt0118715
The Graduate,1967,tt0061722
Reservoir Dogs,1992,tt0105236
The Battle of Algiers,1966,tt0058946
Her,2013,tt1798709
Peeping Tom,1960,tt0054167
The Shop Around the Corner,1940,tt0033045
Oasis,2002,tt0320193
The Florida Project,2017,tt5649144
"They Shoot Horses, Don't They?",1969,tt0065088
Blue Velvet,1986,tt0090756
The Fire Within,1963,tt0057058
Opening Night,1977,tt0079672
Lost in Translation,2003,tt0335266
McCabe & Mrs. Miller,1971,tt0067411
Aguirre: The Wrath of God,1972,tt0068182
Star Wars,1977,tt0076759
First Reformed,2017,tt6053438
The Pianist,2002,tt0253474
All About Eve,1950,tt0042192
Terminator 2: Judgment Day,1991,tt0103064
Jaws,1975,tt0073195
Touch of Evil,1958,tt0052311
Indiana Jones and the Last Crusade,1989,tt0097576
American Beauty,1999,tt0169547
Call Me by Your Name,2017,tt5726616
La Strada,1954,tt0047528
A Short Film About Killing,1988,tt0095468
The Searchers,1956,tt0049730
The Assassination of Jesse James by the Coward…,2007,tt0443680
Network,1976,tt0074958
Short Cuts,1993,tt0108122
Day for Night,1973,tt0070460
Before Midnight,2013,tt2209418
Kill Bill: Vol. 1,2003,tt0266697
All the President's Men,1976,tt0074119
Dog Day Afternoon,1975,tt0072890
Vivre Sa Vie,1962,tt0056663
Night on Earth,1991,tt0102536
Short Term 12,2013,tt2370248
"Synecdoche, New York",2008,tt0383028
Back to the Future,1985,tt0088763
Phantom Thread,2017,tt5776858
Memento,2000,tt0209144
Kes,1969,tt0064541
Ratcatcher,1999,tt0171685
On the Waterfront,1954,tt0047296
Once Upon a Time in America,1984,tt0087843
